Data,Empresa,Categoria,Produto,Quantidade,Quantidade Prevista,Preço,Preço Americanas,Preço Martins,Preço Vila Nova,Preço Recomendado Minimo,Preço Recomendado Medio,Preco AI
2/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6715.989945,6012.989945,1.37,1.48,2.42,1.68,1.33,1.86,1.59
2/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6244.552976,6776.552976,2.31,2.29,1.93,2.09,1.87,2.10,1.99
2/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6420.971128,5919.971128,2.93,2.29,1.41,1.80,1.37,1.83,1.60
2/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6594.416257,6699.416257,2.87,2.29,1.69,2.09,1.64,2.02,1.83
2/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6611.242369,7304.242369,1.49,2.88,2.62,1.20,1.16,2.23,1.70
2/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6247.503884,6636.503884,2.50,2.50,1.51,1.20,1.16,1.74,1.45
2/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6727.978086,7088.978086,1.99,2.29,0.87,3.04,0.84,2.07,1.46
2/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6364.763542,6405.763542,2.95,3.00,1.45,1.42,1.38,1.96,1.67
2/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6458.921551,6774.921551,1.72,2.72,0.86,2.97,0.83,2.18,1.51
2/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6535.452303,5748.452303,1.06,2.29,2.22,1.16,1.03,1.89,1.46
2/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6309.522448,6820.522448,1.99,1.53,1.69,2.75,1.48,1.99,1.74
3/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6539.059993,6607.059993,1.63,2.29,1.69,2.16,1.58,2.05,1.81
3/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6692.264511,7530.264511,2.35,2.73,2.25,2.09,2.03,2.36,2.19
3/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6670.321297,7276.321297,2.96,2.07,1.69,2.09,1.64,1.95,1.79
3/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6323.060676,7161.060676,1.99,1.67,0.85,1.40,0.82,1.31,1.07
3/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6454.646959,6649.646959,1.13,2.29,2.67,2.09,1.10,2.35,1.72
3/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6733.929568,6488.929568,1.80,3.17,2.51,2.11,1.75,2.60,2.17
3/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6658.689288,6634.689288,2.93,2.56,2.14,2.09,2.03,2.26,2.15
3/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6628.338943,5707.338943,2.60,2.29,1.80,2.70,1.75,2.26,2.00
3/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6314.062186,5816.062186,1.99,2.29,1.68,2.80,1.63,2.26,1.94
3/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6519.021476,7388.021476,1.32,2.29,1.69,2.84,1.28,2.27,1.78
3/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6394.623889,5765.623889,1.99,3.15,1.69,1.57,1.52,2.14,1.83
3/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6555.134349,6453.134349,1.99,2.84,0.76,2.09,0.74,1.90,1.32
3/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6310.883369,6892.883369,1.44,3.09,1.69,1.28,1.24,2.02,1.63
3/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6597.453945,7376.453945,2.55,1.86,1.69,1.77,1.64,1.77,1.71
3/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6680.982951,5928.982951,1.99,2.05,2.60,2.09,1.93,2.25,2.09
3/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6355.00409,6272.00409,1.78,2.29,1.69,1.53,1.48,1.84,1.66
3/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6703.267613,6566.267613,1.14,2.09,1.91,2.01,1.11,2.00,1.55
3/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6651.420521,7151.420521,1.99,3.19,1.86,2.09,1.80,2.38,2.09
3/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6602.458962,6340.458962,1.60,2.29,2.14,2.71,1.55,2.38,1.97
3/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6666.391692,5864.391692,1.52,1.85,1.47,1.63,1.43,1.65,1.54
3/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6287.642957,5930.642957,2.47,2.93,2.61,2.09,2.03,2.54,2.29
3/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6510.860942,5822.860942,1.05,2.41,1.16,1.60,1.02,1.72,1.37
3/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6378.025345,5816.025345,1.64,1.76,2.64,1.67,1.59,2.02,1.81
3/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6557.162318,6528.162318,1.99,2.29,1.52,2.26,1.47,2.02,1.75
3/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6543.935603,6052.935603,1.06,2.29,1.69,1.37,1.03,1.78,1.41
3/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6580.694259,6033.694259,1.99,2.55,1.21,1.73,1.17,1.83,1.50
3/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6488.667744,6126.667744,1.05,2.29,1.69,1.40,1.02,1.79,1.41
3/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6472.650808,5908.650808,2.53,1.88,2.61,2.56,1.82,2.35,2.09
3/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6310.764099,5446.764099,2.55,2.74,1.69,1.84,1.64,2.09,1.86
3/30/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6389.111476,7178.111476,1.83,1.40,1.69,2.45,1.36,1.85,1.60
3/31/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6649.737478,6241.737478,2.88,2.29,1.69,1.14,1.11,1.71,1.41
4/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6616.714846,7312.714846,1.99,1.88,1.85,1.42,1.38,1.72,1.55
4/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6480.85652,6516.85652,1.75,2.30,0.90,2.09,0.87,1.76,1.32
4/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6362.60297,6595.60297,1.99,1.41,1.81,2.04,1.37,1.75,1.56
4/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6615.963684,6495.963684,2.43,1.53,1.69,1.85,1.48,1.69,1.59
4/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6315.390526,5583.390526,2.03,2.29,1.69,2.51,1.64,2.16,1.90
4/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6310.556938,5733.556938,2.61,2.35,2.16,2.09,2.03,2.20,2.11
4/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6737.356137,6045.356137,1.99,3.06,1.90,3.00,1.84,2.65,2.25
4/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6696.69462,7129.69462,1.76,2.46,2.32,2.99,1.71,2.59,2.15
4/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6458.847954,6701.847954,1.88,2.29,2.67,2.11,1.82,2.36,2.09
4/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6508.083679,7124.083679,2.56,2.78,1.69,1.28,1.24,1.92,1.58
4/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6577.208768,5843.208768,2.11,2.22,1.92,2.09,1.86,2.08,1.97
4/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6301.30413,5946.30413,2.61,2.37,2.34,3.06,2.27,2.59,2.43
4/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6518.667684,6174.667684,1.04,2.37,1.69,1.87,1.01,1.98,1.49
4/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6449.907304,5781.907304,1.99,1.46,1.69,1.17,1.13,1.44,1.29
4/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6674.461294,6998.461294,1.99,2.41,2.38,2.09,1.93,2.29,2.11
4/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6609.242927,6048.242927,2.63,2.29,2.23,1.92,1.86,2.15,2.00
4/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6386.887464,5785.887464,2.39,2.29,1.69,2.09,1.64,2.02,1.83
4/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6484.985772,5576.985772,1.22,2.83,1.69,2.09,1.18,2.20,1.69
4/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6678.097283,7117.097283,2.14,2.29,1.40,2.80,1.36,2.16,1.76
4/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6657.950104,6434.950104,1.99,2.64,1.69,2.41,1.64,2.25,1.94
4/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6379.706054,5747.706054,1.69,2.98,1.08,2.50,1.05,2.19,1.62
4/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6265.217084,6810.217084,1.99,2.64,1.52,2.09,1.47,2.08,1.78
4/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6498.33868,6028.33868,1.99,2.29,0.87,2.09,0.84,1.75,1.30
4/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6677.907819,7617.907819,1.99,2.01,1.26,1.31,1.22,1.53,1.37
4/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6597.488598,6532.488598,1.99,2.29,2.06,2.02,1.93,2.12,2.03
4/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6392.695752,5473.695752,1.99,1.74,2.42,1.83,1.69,2.00,1.84
4/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6386.552317,6462.552317,1.94,1.54,0.89,1.22,0.86,1.22,1.04
4/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6693.35555,6039.35555,2.13,2.29,1.69,1.33,1.29,1.77,1.53
4/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6564.583252,6831.583252,2.92,2.29,1.69,2.09,1.64,2.02,1.83
4/30/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6340.42085,5567.42085,2.25,2.46,1.69,1.46,1.42,1.87,1.64
5/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6717.597728,6213.597728,1.99,2.29,1.69,1.20,1.16,1.73,1.45
5/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6283.91796,6324.91796,2.09,2.72,1.13,2.09,1.10,1.98,1.54
5/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6460.860271,7251.860271,1.46,3.04,1.69,3.08,1.42,2.60,2.01
5/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6251.107625,6466.107625,2.81,1.81,1.69,1.27,1.23,1.59,1.41
5/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6713.560849,6071.560849,1.58,2.45,2.66,1.41,1.37,2.17,1.77
5/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6331.129944,6727.129944,1.40,1.87,1.69,2.17,1.36,1.91,1.63
5/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6315.958135,5809.958135,0.99,1.73,1.69,2.73,0.96,2.05,1.51
5/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6571.889929,6685.889929,2.37,2.29,1.69,2.09,1.64,2.02,1.83
5/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6293.342094,7213.342094,1.80,2.29,1.69,2.69,1.64,2.22,1.93
5/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6347.248705,6356.248705,1.99,2.33,1.69,2.09,1.64,2.04,1.84
5/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6464.596228,6740.596228,1.99,2.14,1.69,2.65,1.64,2.16,1.90
5/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6654.739484,7031.739484,2.88,1.74,1.53,1.19,1.15,1.49,1.32
5/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6306.414716,5992.414716,1.99,1.70,1.69,1.83,1.64,1.74,1.69
5/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6269.01002,7016.01002,2.48,2.79,1.69,2.50,1.64,2.33,1.98
5/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6546.294133,5580.294133,2.07,2.29,1.69,2.09,1.64,2.02,1.83
5/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6401.249395,5883.249395,1.61,2.75,0.94,2.55,0.91,2.08,1.50
5/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6545.330731,6287.330731,1.53,2.63,1.33,2.13,1.29,2.03,1.66
5/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6574.80859,5636.80859,2.62,1.82,1.69,2.09,1.64,1.87,1.75
5/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6611.283833,6306.283833,2.29,3.27,1.69,2.09,1.64,2.35,1.99
5/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6290.483678,6892.483678,1.99,2.52,1.69,2.21,1.64,2.14,1.89
5/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6299.503757,6323.503757,2.00,2.29,2.41,2.57,1.94,2.42,2.18
5/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6353.150461,6024.150461,1.53,1.80,1.38,1.29,1.25,1.49,1.37
5/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6568.565095,5656.565095,2.88,3.09,1.02,1.85,0.99,1.99,1.49
5/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6598.27469,6205.27469,1.28,1.59,2.55,1.59,1.24,1.91,1.58
5/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6433.895205,7298.895205,1.65,2.29,1.69,2.09,1.60,2.02,1.81
5/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6423.535524,5663.535524,2.90,2.69,1.69,2.09,1.64,2.16,1.90
5/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6657.881549,6981.881549,2.54,2.35,1.69,2.09,1.64,2.04,1.84
5/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6493.985724,6428.985724,1.99,3.14,1.69,2.09,1.64,2.31,1.97
5/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6539.030743,7359.030743,2.41,2.24,1.28,3.07,1.24,2.20,1.72
5/30/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6673.114432,6048.114432,1.99,2.30,1.69,2.03,1.64,2.01,1.82
5/31/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6732.982843,5958.982843,1.96,2.29,0.74,2.29,0.72,1.77,1.25
6/1/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6518.982541,5685.982541,2.51,2.97,2.48,2.09,2.03,2.51,2.27
6/2/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6309.518761,6798.518761,1.82,3.16,1.05,2.89,1.02,2.37,1.69
6/3/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6288.061197,7062.061197,2.98,1.95,2.19,1.11,1.08,1.75,1.41
6/4/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6474.882563,5928.882563,1.88,2.29,1.69,3.03,1.64,2.34,1.99
6/5/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6303.701471,6865.701471,2.38,2.92,1.92,2.09,1.86,2.31,2.09
6/6/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6672.830567,7524.830567,2.18,2.29,2.58,2.09,2.03,2.32,2.17
6/7/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6462.196063,5844.196063,2.80,1.39,2.12,1.33,1.29,1.61,1.45
6/8/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6560.339265,6156.339265,2.77,1.35,1.69,2.75,1.31,1.93,1.62
6/9/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6316.502506,6047.502506,1.99,2.51,1.09,2.09,1.06,1.90,1.48
6/10/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6561.282427,5568.282427,2.96,2.08,2.42,2.09,2.02,2.20,2.11
6/11/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6339.941651,5535.941651,1.99,2.29,0.84,2.22,0.81,1.78,1.30
6/12/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6604.007144,5653.007144,1.63,2.29,1.20,2.09,1.16,1.86,1.51
6/13/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6305.319655,6727.319655,1.99,2.29,1.96,2.93,1.90,2.39,2.15
6/14/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6399.144997,6579.144997,1.99,2.29,0.86,2.63,0.83,1.93,1.38
6/15/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6483.394069,7447.394069,1.99,2.29,1.69,2.50,1.64,2.16,1.90
6/16/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6721.683318,6264.683318,1.99,2.29,1.69,2.09,1.64,2.02,1.83
6/17/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6670.290587,7414.290587,1.21,2.45,2.56,2.09,1.17,2.37,1.77
6/18/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6522.657457,6287.657457,1.99,3.05,2.48,2.68,1.93,2.74,2.33
6/19/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6390.468374,6470.468374,1.99,2.19,1.54,2.09,1.49,1.94,1.72
6/20/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6257.03744,5512.03744,1.79,1.83,1.47,2.60,1.43,1.97,1.70
6/21/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6514.938441,6008.938441,1.26,2.75,2.59,2.09,1.22,2.48,1.85
6/22/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6575.215102,6939.215102,1.06,3.29,0.71,2.08,0.69,2.03,1.36
6/23/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6664.019397,5880.019397,1.99,1.78,0.81,1.38,0.79,1.32,1.05
6/24/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6707.151567,7045.151567,1.99,1.44,1.69,2.18,1.40,1.77,1.58
6/25/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6482.704485,6155.704485,1.99,1.66,2.04,1.41,1.37,1.70,1.54
6/26/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6353.655341,6224.655341,1.54,1.34,2.50,2.64,1.30,2.16,1.73
6/27/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6540.394876,6856.394876,1.99,2.96,1.14,2.77,1.11,2.29,1.70
6/28/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6654.328127,5721.328127,1.27,1.38,1.53,1.54,1.23,1.48,1.36
6/29/20,UNILEVER PERFUMARIA,SABONETE EM BARRA,183740,6399.424325,7184.424325,2.70,1.64,1.69,2.68,1.59,2.00,1.80
